datetime_beginning_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
1/1/2022 5:00:00 AM,1/1/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.02,19.940000,-0.530000,-0.550000,True,1
1/1/2022 6:00:00 AM,1/1/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,18.43,17.800000,-0.010000,-0.620000,True,1
1/1/2022 7:00:00 AM,1/1/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,18.11,17.470000,0.000000,-0.640000,True,1
1/1/2022 8:00:00 AM,1/1/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,18.15,17.310000,-0.110000,-0.730000,True,1
1/1/2022 9:00:00 AM,1/1/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,17.70,17.060000,0.060000,-0.700000,True,1
1/1/2022 10:00:00 AM,1/1/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,17.67,17.020000,0.070000,-0.720000,True,1
1/1/2022 11:00:00 AM,1/1/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,17.72,17.060000,0.010000,-0.670000,True,1
1/1/2022 12:00:00 PM,1/1/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,18.24,17.500000,-0.090000,-0.650000,True,1
1/1/2022 1:00:00 PM,1/1/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.03,19.120000,-0.300000,-0.610000,True,1
1/1/2022 2:00:00 PM,1/1/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.78,19.500000,-1.690000,-0.590000,True,1
1/1/2022 3:00:00 PM,1/1/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.95,23.810000,-1.330000,-0.810000,True,1
1/1/2022 4:00:00 PM,1/1/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.30,24.290000,-1.240000,-0.770000,True,1
1/1/2022 5:00:00 PM,1/1/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.02,24.480000,-0.820000,-0.720000,True,1
1/1/2022 6:00:00 PM,1/1/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.73,24.470000,-0.480000,-0.780000,True,1
1/1/2022 7:00:00 PM,1/1/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.21,23.770000,-0.720000,-0.720000,True,1
1/1/2022 8:00:00 PM,1/1/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.04,23.160000,-0.310000,-0.570000,True,1
1/1/2022 9:00:00 PM,1/1/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,25.90,23.760000,-1.780000,-0.360000,True,1
1/1/2022 10:00:00 PM,1/1/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.70,25.780000,-2.810000,-0.110000,True,1
1/1/2022 11:00:00 PM,1/1/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.93,24.700000,-2.850000,-0.380000,True,1
1/2/2022 12:00:00 AM,1/1/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.49,22.850000,-3.030000,-0.610000,True,1
1/2/2022 1:00:00 AM,1/1/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.70,23.720000,-2.300000,-0.680000,True,1
1/2/2022 2:00:00 AM,1/1/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.43,23.670000,-2.150000,-0.610000,True,1
1/2/2022 3:00:00 AM,1/1/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.39,24.080000,-0.010000,-0.300000,True,1
1/2/2022 4:00:00 AM,1/1/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.89,21.510000,-0.190000,-0.190000,True,1
1/2/2022 5:00:00 AM,1/2/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.93,21.440000,-0.280000,-0.210000,True,1
1/2/2022 6:00:00 AM,1/2/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.72,20.620000,0.000000,-0.100000,True,1
1/2/2022 7:00:00 AM,1/2/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.62,20.450000,0.000000,-0.170000,True,1
1/2/2022 8:00:00 AM,1/2/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.54,19.970000,-0.250000,-0.320000,True,1
1/2/2022 9:00:00 AM,1/2/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.29,19.610000,-0.400000,-0.280000,True,1
1/2/2022 10:00:00 AM,1/2/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,20.83,20.580000,0.030000,-0.280000,True,1
1/2/2022 11:00:00 AM,1/2/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,21.24,18.300000,-2.790000,-0.150000,True,1
1/2/2022 12:00:00 PM,1/2/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,22.18,21.280000,-0.680000,-0.220000,True,1
1/2/2022 1:00:00 PM,1/2/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,24.11,22.950000,-1.020000,-0.140000,True,1
1/2/2022 2:00:00 PM,1/2/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,26.71,23.360000,-3.000000,-0.350000,True,1
1/2/2022 3:00:00 PM,1/2/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.12,23.700000,-3.440000,0.020000,True,1
1/2/2022 4:00:00 PM,1/2/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.43,23.970000,-3.430000,-0.030000,True,1
1/2/2022 5:00:00 PM,1/2/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.30,25.480000,-1.950000,0.130000,True,1
1/2/2022 6:00:00 PM,1/2/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.13,24.590000,-2.710000,0.170000,True,1
1/2/2022 7:00:00 PM,1/2/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.03,24.570000,-2.580000,0.120000,True,1
1/2/2022 8:00:00 PM,1/2/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,27.24,24.770000,-2.790000,0.320000,True,1
1/2/2022 9:00:00 PM,1/2/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,30.55,26.070000,-4.590000,0.110000,True,1
1/2/2022 10:00:00 PM,1/2/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.06,34.770000,-4.460000,0.170000,True,1
1/2/2022 11:00:00 PM,1/2/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,37.66,30.940000,-6.810000,0.090000,True,1
1/3/2022 12:00:00 AM,1/2/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,37.54,30.290000,-7.020000,-0.230000,True,1
1/3/2022 1:00:00 AM,1/2/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,37.20,28.680000,-8.130000,-0.390000,True,1
1/3/2022 2:00:00 AM,1/2/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,36.96,27.620000,-8.900000,-0.440000,True,1
1/3/2022 3:00:00 AM,1/2/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,36.49,32.680000,-3.840000,0.030000,True,1
1/3/2022 4:00:00 AM,1/2/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.76,27.460000,-2.520000,0.220000,True,1
1/3/2022 5:00:00 AM,1/3/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,29.15,23.740000,-5.260000,-0.150000,True,1
1/3/2022 6:00:00 AM,1/3/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.73,23.420000,-4.830000,-0.480000,True,1
1/3/2022 7:00:00 AM,1/3/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.47,23.350000,-4.570000,-0.550000,True,1
1/3/2022 8:00:00 AM,1/3/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,28.98,23.720000,-4.600000,-0.660000,True,1
1/3/2022 9:00:00 AM,1/3/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,30.06,24.950000,-4.190000,-0.920000,True,1
1/3/2022 10:00:00 AM,1/3/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,34.30,28.420000,-4.980000,-0.900000,True,1
1/3/2022 11:00:00 AM,1/3/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.78,30.750000,-9.570000,-1.460000,True,1
1/3/2022 12:00:00 PM,1/3/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,49.44,38.480000,-9.770000,-1.190000,True,1
1/3/2022 1:00:00 PM,1/3/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,47.41,38.910000,-7.430000,-1.070000,True,1
1/3/2022 2:00:00 PM,1/3/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.92,37.540000,-6.840000,-1.540000,True,1
1/3/2022 3:00:00 PM,1/3/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.89,39.490000,-4.980000,-1.420000,True,1
1/3/2022 4:00:00 PM,1/3/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.21,38.620000,-6.160000,-1.430000,True,1
1/3/2022 5:00:00 PM,1/3/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.71,34.090000,-6.590000,-1.030000,True,1
1/3/2022 6:00:00 PM,1/3/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.79,32.480000,-6.210000,-1.100000,True,1
1/3/2022 7:00:00 PM,1/3/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,36.53,31.940000,-3.540000,-1.050000,True,1
1/3/2022 8:00:00 PM,1/3/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,36.11,33.240000,-1.910000,-0.960000,True,1
1/3/2022 9:00:00 PM,1/3/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.19,43.220000,-1.560000,-1.410000,True,1
1/3/2022 10:00:00 PM,1/3/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,66.30,61.430000,-3.430000,-1.440000,True,1
1/3/2022 11:00:00 PM,1/3/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,54.44,47.350000,-5.320000,-1.770000,True,1
1/4/2022 12:00:00 AM,1/3/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,50.00,44.060000,-4.120000,-1.820000,True,1
1/4/2022 1:00:00 AM,1/3/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.46,41.420000,-2.340000,-1.700000,True,1
1/4/2022 2:00:00 AM,1/3/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.60,41.670000,-2.080000,-1.850000,True,1
1/4/2022 3:00:00 AM,1/3/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.46,38.310000,-1.100000,-2.050000,True,1
1/4/2022 4:00:00 AM,1/3/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,35.67,33.360000,-1.060000,-1.250000,True,1
1/4/2022 5:00:00 AM,1/4/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.38,34.730000,-6.590000,-1.060000,True,1
1/4/2022 6:00:00 AM,1/4/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.30,31.550000,-9.460000,-1.290000,True,1
1/4/2022 7:00:00 AM,1/4/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.43,31.000000,-9.240000,-1.190000,True,1
1/4/2022 8:00:00 AM,1/4/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.99,30.980000,-8.850000,-1.160000,True,1
1/4/2022 9:00:00 AM,1/4/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,44.77,34.220000,-9.560000,-0.990000,True,1
1/4/2022 10:00:00 AM,1/4/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,47.75,34.490000,-12.410000,-0.850000,True,1
1/4/2022 11:00:00 AM,1/4/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,62.36,50.400000,-11.400000,-0.560000,True,1
1/4/2022 12:00:00 PM,1/4/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,81.70,59.810000,-21.730000,-0.160000,True,1
1/4/2022 1:00:00 PM,1/4/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,56.76,52.560000,-3.760000,-0.440000,True,1
1/4/2022 2:00:00 PM,1/4/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.44,40.250000,-1.710000,-0.480000,True,1
1/4/2022 3:00:00 PM,1/4/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.91,47.970000,2.130000,-0.070000,True,1
1/4/2022 4:00:00 PM,1/4/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,43.06,45.210000,2.270000,-0.120000,True,1
1/4/2022 5:00:00 PM,1/4/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.38,43.930000,2.960000,-0.410000,True,1
1/4/2022 6:00:00 PM,1/4/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.22,43.500000,2.650000,-0.370000,True,1
1/4/2022 7:00:00 PM,1/4/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.52,42.740000,2.610000,-0.390000,True,1
1/4/2022 8:00:00 PM,1/4/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.38,42.880000,2.460000,0.040000,True,1
1/4/2022 9:00:00 PM,1/4/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.25,45.330000,2.240000,0.840000,True,1
1/4/2022 10:00:00 PM,1/4/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,52.43,56.050000,1.880000,1.740000,True,1
1/4/2022 11:00:00 PM,1/4/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,50.25,52.940000,1.510000,1.180000,True,1
1/5/2022 12:00:00 AM,1/4/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,49.79,50.740000,-0.150000,1.100000,True,1
1/5/2022 1:00:00 AM,1/4/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.75,49.330000,1.610000,0.970000,True,1
1/5/2022 2:00:00 AM,1/4/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,44.57,47.440000,2.260000,0.610000,True,1
1/5/2022 3:00:00 AM,1/4/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.90,44.240000,1.700000,0.640000,True,1
1/5/2022 4:00:00 AM,1/4/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.54,41.660000,1.860000,0.260000,True,1
1/5/2022 5:00:00 AM,1/5/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.15,57.840000,10.190000,1.500000,True,1
1/5/2022 6:00:00 AM,1/5/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,44.09,55.800000,10.500000,1.210000,True,1
1/5/2022 7:00:00 AM,1/5/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.62,54.670000,10.930000,1.120000,True,1
1/5/2022 8:00:00 AM,1/5/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.65,52.100000,10.100000,1.350000,True,1
1/5/2022 9:00:00 AM,1/5/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.16,53.770000,10.110000,1.500000,True,1
1/5/2022 10:00:00 AM,1/5/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.48,58.260000,10.620000,2.160000,True,1
1/5/2022 11:00:00 AM,1/5/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,52.76,64.500000,8.980000,2.760000,True,1
1/5/2022 12:00:00 PM,1/5/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,57.60,72.300000,12.030000,2.670000,True,1
1/5/2022 1:00:00 PM,1/5/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,53.43,64.820000,8.620000,2.770000,True,1
1/5/2022 2:00:00 PM,1/5/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,48.95,60.180000,8.970000,2.260000,True,1
1/5/2022 3:00:00 PM,1/5/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,41.44,50.220000,5.350000,3.430000,True,1
1/5/2022 4:00:00 PM,1/5/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.27,49.340000,5.800000,3.270000,True,1
1/5/2022 5:00:00 PM,1/5/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.40,47.260000,4.470000,3.390000,True,1
1/5/2022 6:00:00 PM,1/5/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,38.76,44.770000,2.690000,3.320000,True,1
1/5/2022 7:00:00 PM,1/5/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,38.72,44.760000,2.600000,3.440000,True,1
1/5/2022 8:00:00 PM,1/5/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,38.66,44.770000,2.570000,3.540000,True,1
1/5/2022 9:00:00 PM,1/5/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.89,45.890000,2.250000,3.750000,True,1
1/5/2022 10:00:00 PM,1/5/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,50.68,57.310000,2.160000,4.470000,True,1
1/5/2022 11:00:00 PM,1/5/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.16,51.560000,1.430000,3.970000,True,1
1/6/2022 12:00:00 AM,1/5/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,42.16,46.880000,1.480000,3.240000,True,1
1/6/2022 1:00:00 AM,1/5/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,40.28,45.180000,1.690000,3.210000,True,1
1/6/2022 2:00:00 AM,1/5/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.60,44.330000,1.510000,3.220000,True,1
1/6/2022 3:00:00 AM,1/5/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,38.32,43.610000,2.290000,3.000000,True,1
1/6/2022 4:00:00 AM,1/5/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,35.26,39.410000,1.110000,3.040000,True,1
1/6/2022 5:00:00 AM,1/6/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,37.31,40.930000,0.020000,3.600000,True,1
1/6/2022 6:00:00 AM,1/6/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,35.74,38.140000,-1.050000,3.450000,True,1
1/6/2022 7:00:00 AM,1/6/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,35.08,36.660000,-1.860000,3.440000,True,1
1/6/2022 8:00:00 AM,1/6/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,36.23,37.940000,-1.830000,3.540000,True,1
1/6/2022 9:00:00 AM,1/6/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,37.62,38.560000,-2.570000,3.510000,True,1
1/6/2022 10:00:00 AM,1/6/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,39.13,37.440000,-5.270000,3.580000,True,1
1/6/2022 11:00:00 AM,1/6/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,49.80,45.520000,-8.610000,4.330000,True,1
1/6/2022 12:00:00 PM,1/6/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,57.58,57.190000,-5.280000,4.890000,True,1
1/6/2022 1:00:00 PM,1/6/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,53.98,54.670000,-3.250000,3.940000,True,1
1/6/2022 2:00:00 PM,1/6/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,49.28,51.490000,-1.280000,3.490000,True,1
1/6/2022 3:00:00 PM,1/6/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,52.48,55.820000,-0.200000,3.540000,True,1
1/6/2022 4:00:00 PM,1/6/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,50.09,53.120000,-0.070000,3.100000,True,1
1/6/2022 5:00:00 PM,1/6/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,47.96,50.840000,-0.050000,2.930000,True,1
1/6/2022 6:00:00 PM,1/6/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.86,48.950000,0.350000,2.740000,True,1
1/6/2022 7:00:00 PM,1/6/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.12,49.260000,0.490000,2.650000,True,1
1/6/2022 8:00:00 PM,1/6/2022 3:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.28,49.840000,0.730000,2.830000,True,1
1/6/2022 9:00:00 PM,1/6/2022 4:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,53.22,57.280000,1.110000,2.950000,True,1
1/6/2022 10:00:00 PM,1/6/2022 5:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,69.03,69.340000,-3.520000,3.830000,True,1
1/6/2022 11:00:00 PM,1/6/2022 6:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,64.10,61.440000,-5.420000,2.760000,True,1
1/7/2022 12:00:00 AM,1/6/2022 7:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,60.61,58.630000,-4.440000,2.460000,True,1
1/7/2022 1:00:00 AM,1/6/2022 8:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,57.48,57.620000,-2.000000,2.140000,True,1
1/7/2022 2:00:00 AM,1/6/2022 9:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,53.45,56.280000,0.840000,1.990000,True,1
1/7/2022 3:00:00 AM,1/6/2022 10:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,49.26,52.790000,1.530000,2.000000,True,1
1/7/2022 4:00:00 AM,1/6/2022 11:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.22,47.120000,0.290000,1.610000,True,1
1/7/2022 5:00:00 AM,1/7/2022 12:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,45.27,44.270000,-1.890000,0.890000,True,1
1/7/2022 6:00:00 AM,1/7/2022 1:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,44.42,43.770000,-1.130000,0.480000,True,1
1/7/2022 7:00:00 AM,1/7/2022 2:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,44.16,43.250000,-1.180000,0.270000,True,1
1/7/2022 8:00:00 AM,1/7/2022 3:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,46.34,46.070000,-0.330000,0.060000,True,1
1/7/2022 9:00:00 AM,1/7/2022 4:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,47.80,46.220000,-1.670000,0.090000,True,1
1/7/2022 10:00:00 AM,1/7/2022 5:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,50.36,48.250000,-1.840000,-0.270000,True,1
1/7/2022 11:00:00 AM,1/7/2022 6:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,59.35,56.190000,-3.080000,-0.080000,True,1
1/7/2022 12:00:00 PM,1/7/2022 7:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,84.89,78.070000,-8.670000,1.850000,True,1
1/7/2022 1:00:00 PM,1/7/2022 8:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,68.78,67.020000,-3.020000,1.260000,True,1
1/7/2022 2:00:00 PM,1/7/2022 9:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,58.90,58.460000,-1.330000,0.890000,True,1
1/7/2022 3:00:00 PM,1/7/2022 10:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,90.74,92.200000,-1.120000,2.580000,True,1
1/7/2022 4:00:00 PM,1/7/2022 11:00:00 AM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,83.09,85.590000,-0.140000,2.640000,True,1
1/7/2022 5:00:00 PM,1/7/2022 12:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,70.91,73.840000,0.330000,2.600000,True,1
1/7/2022 6:00:00 PM,1/7/2022 1:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,65.79,68.360000,0.180000,2.390000,True,1
1/7/2022 7:00:00 PM,1/7/2022 2:00:00 PM,48612,BRIDGEWA,230 KV,26KV,LOAD,PSEG,60.81,67.470000,4.430000,2.230000,True,1
